time,remaining_qty,slice_qty,mid_now,best_bid,best_ask,spread_ticks,imbalance,vol_ema,time_ratio,fill_ratio,schedule_error,ml_ready,ml_predicted_move,ml_urgency,ml_triggered,forced_ioc,skip,raw_action,final_action,ml_horizon_ms,ml_threshold
1767585600000,3016,12,928799,928799,928800,1,-0.728742,0.0231486,0.595238,0.569143,0.0260952,1,-35.9301,-35.9301,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767586500000,3004,12,927747,927747,927748,1,-0.743562,0.172673,0.596726,0.570857,0.025869,1,-32.3035,-32.3035,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767587400000,2992,12,924773,924773,924774,1,-0.410756,4.19412,0.598214,0.572571,0.0256429,1,39.6017,39.6017,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767588300000,2980,12,924185,924185,924186,1,0.141732,5.3657,0.599702,0.574286,0.0254167,1,43.1881,43.1881,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767589200000,2968,12,926076,926076,926077,1,0.726788,2.91552,0.60119,0.576,0.0251905,1,-5.80684,-5.80684,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767590100000,2956,12,926505,926505,926506,1,0.6826,1.44257,0.602679,0.577714,0.0249643,1,-31.6241,-31.6241,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767591000000,2944,12,927168,927168,927169,1,-0.427567,2.6468e-10,0.604167,0.579429,0.0247381,1,-41.3426,-41.3426,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767591900000,2932,12,925666,925666,925667,1,-0.38141,0.313349,0.605655,0.581143,0.0245119,1,-35.3904,-35.3904,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767592800000,2920,12,923710,923710,923711,1,-0.203778,0.626301,0.607143,0.582857,0.0242857,1,-32.0238,-32.0238,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767593700000,2908,12,924383,924383,924384,1,-0.382687,0.0161613,0.608631,0.584571,0.0240595,1,-41.8486,-41.8486,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767594600000,2896,12,922769,922769,922770,1,-0.282073,0.00080755,0.610119,0.586286,0.0238333,1,-43.3425,-43.3425,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767595500000,2884,12,924238,924238,924239,1,0.115916,2.01257,0.611607,0.588,0.0236071,1,-9.68297,-9.68297,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767596400000,2872,12,924910,924910,924911,1,-0.271734,6.34713e-07,0.613095,0.589714,0.023381,1,-42.9453,-42.9453,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767597300000,2860,11,926187,926187,926188,1,0.736906,6.79926e-07,0.614583,0.591429,0.0231548,1,-59.1324,-59.1324,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767598200000,2849,11,925640,925640,925641,1,-0.727414,0.537838,0.616071,0.593,0.0230714,1,-23.7958,-23.7958,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767599100000,2838,11,925410,925410,925411,1,-0.679152,3.56611,0.61756,0.594571,0.0229881,1,36.0884,36.0884,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767600000000,2827,11,925215,925215,925216,1,-0.552249,1.14197,0.619048,0.596143,0.0229048,1,-18.259,-18.259,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767600900000,2816,11,926469,926469,926470,1,-0.117574,0.30485,0.620536,0.597714,0.0228214,1,-39.7731,-39.7731,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767601800000,2805,11,927057,927057,927058,1,0.633627,2.30669,0.622024,0.599286,0.0227381,1,-16.0851,-16.0851,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767602700000,2794,11,924804,924804,924805,1,-0.129948,1.76628e-13,0.623512,0.600857,0.0226548,1,-44.8647,-44.8647,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767603600000,2783,11,924748,924748,924749,1,-0.67753,3.25927,0.625,0.602429,0.0225714,1,23.0003,23.0003,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767604500000,2772,11,924378,924378,924379,1,0.812906,0.939398,0.626488,0.604,0.0224881,1,-42.9003,-42.9003,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767605400000,2761,11,926365,926365,926366,1,0.095018,5.35561,0.627976,0.605571,0.0224048,1,47.9294,47.9294,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767606300000,2750,11,926525,926525,926526,1,0.411414,0.191006,0.629464,0.607143,0.0223214,1,-49.9258,-49.9258,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767607200000,2739,11,926900,926900,926901,1,0.207171,0.285598,0.630952,0.608714,0.0222381,1,-44.5396,-44.5396,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767608100000,2728,11,929153,929153,929154,1,-0.296922,6.48684,0.63244,0.610286,0.0221548,1,67.0633,67.0633,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767609000000,2717,11,929033,929033,929034,1,-0.263722,9.1081e-06,0.633929,0.611857,0.0220714,1,-40.8626,-40.8626,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767609900000,2706,11,928537,928537,928538,1,0.0155799,1.10989,0.635417,0.613429,0.0219881,1,-25.9569,-25.9569,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767610800000,2695,11,930873,930873,930874,1,0.537742,5.88408,0.636905,0.615,0.0219048,1,56.5571,56.5571,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
1767611700000,2684,11,928983,928983,928984,1,-0.547416,0.0963846,0.638393,0.616571,0.0218214,1,-36.7395,-36.7395,0,0,0,exec_ioc_touch,exec_ioc_touch,1000,0.05
